"";"X";"country";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"103";103;"ARM";"Horses";1096;"Live animals";"Livestock";"Live animals";"excluded"
"104";104;"ARM";"Asses";1107;"Live animals";"Livestock";"Live animals";"excluded"
"105";105;"ARM";"Mules";1110;"Live animals";"Livestock";"Live animals";"excluded"
"106";106;"ARM";"Camels";1126;"Live animals";"Livestock";"Live animals";"excluded"
"107";107;"ARM";"Camelids, other";1157;"Live animals";"Livestock";"Live animals";"excluded"
"108";108;"ARM";"Rabbits and hares";1140;"Live animals";"Livestock";"Live animals";"excluded"
"109";109;"ARM";"Rodents, other";1150;"Live animals";"Livestock";"Live animals";"excluded"
"110";110;"ARM";"Live animals, other";1171;"Live animals";"Livestock";"Live animals";"excluded"
"111";111;"ARM";"Milk - Excluding Butter";2848;"Milk";"Livestock products";"Milk";"Milk"
"112";112;"ARM";"Butter, Ghee";2740;"Milk";"Livestock products";"Milk";"Milk"
"113";113;"ARM";"Eggs";2744;"Eggs";"Livestock products";"Eggs";"Meat, sausages, fish, eggs"
"114";114;"ARM";"Wool (Clean Eq.)";2746;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"115";115;"ARM";"Bovine Meat";2731;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"116";116;"ARM";"Mutton & Goat Meat";2732;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"117";117;"ARM";"Pigmeat";2733;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"118";118;"ARM";"Poultry Meat";2734;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"119";119;"ARM";"Meat, Other";2735;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"120";120;"ARM";"Offals, Edible";2736;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"121";121;"ARM";"Fats, Animals, Raw";2737;"Animal fats";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"122";122;"ARM";"Hides and skins";2748;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"123";123;"ARM";"Meat Meal";2749;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"124";124;"ARM";"Pet food";843;"Meat";"Livestock products";"Meat";"excluded"
"125";125;"ARM";"Honey";2745;"Honey";"Livestock products";"Honey";"Alcohol, sugar and honey"
"126";126;"ARM";"Silk";2747;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"127";127;"ARM";"Fish, Seafood";2960;"Fish";"Fish";"Fish";"Meat, sausages, fish, eggs"
"128";128;"ARM";"Wood fuel";1864;"Wood";"Wood";"Wood";"excluded"
"129";129;"ARM";"Industrial roundwood, coniferous";1866;"Wood";"Wood";"Wood";"excluded"
"130";130;"ARM";"Industrial roundwood, non-coniferous";1867;"Wood";"Wood";"Wood";"excluded"
"131";131;"AFG";"Rice (Milled Equivalent)";2805;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"132";132;"AFG";"Wheat and products";2511;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"133";133;"AFG";"Barley and products";2513;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"134";134;"AFG";"Maize and products";2514;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"135";135;"AFG";"Rye and products";2515;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"136";136;"AFG";"Oats";2516;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"137";137;"AFG";"Millet and products";2517;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"138";138;"AFG";"Sorghum and products";2518;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"139";139;"AFG";"Cereals, Other";2520;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"140";140;"AFG";"Potatoes and products";2531;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"141";141;"AFG";"Cassava and products";2532;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"142";142;"AFG";"Sweet potatoes";2533;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"143";143;"AFG";"Roots, Other";2534;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"144";144;"AFG";"Yams";2535;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"145";145;"AFG";"Sugar cane";2536;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"146";146;"AFG";"Sugar beet";2537;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
