"";"country";"continent";"product";"item_code";"com_group";"product_group";"diet_group";"DGE_group"
"84";"ARM";"ASI";"Sunflowerseed Cake";2592;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"85";"ARM";"ASI";"Rape and Mustard Cake";2593;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"86";"ARM";"ASI";"Cottonseed Cake";2594;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"87";"ARM";"ASI";"Palmkernel Cake";2595;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"88";"ARM";"ASI";"Copra Cake";2596;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"89";"ARM";"ASI";"Sesameseed Cake";2597;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"90";"ARM";"ASI";"Oilseed Cakes, Other";2598;"Oil cakes";"Crop products";"Oil cakes";"excluded"
"91";"ARM";"ASI";"Wine";2655;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"92";"ARM";"ASI";"Beer";2656;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"93";"ARM";"ASI";"Beverages, Fermented";2657;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"94";"ARM";"ASI";"Beverages, Alcoholic";2658;"Alcohol";"Crop products";"Alcohol";"Alcohol, sugar and honey"
"95";"ARM";"ASI";"Alcohol, Non-Food";2659;"Ethanol";"Crop products";"Ethanol";"excluded"
"96";"ARM";"ASI";"Cotton lint";2661;"Fibre crops";"Crop products";"Fibre crops";"excluded"
"97";"ARM";"ASI";"Cattle";866;"Live animals";"Livestock";"Live animals";"excluded"
"98";"ARM";"ASI";"Buffaloes";946;"Live animals";"Livestock";"Live animals";"excluded"
"99";"ARM";"ASI";"Sheep";976;"Live animals";"Livestock";"Live animals";"excluded"
"100";"ARM";"ASI";"Goats";1016;"Live animals";"Livestock";"Live animals";"excluded"
"101";"ARM";"ASI";"Pigs";1034;"Live animals";"Livestock";"Live animals";"excluded"
"102";"ARM";"ASI";"Poultry Birds";2029;"Live animals";"Livestock";"Live animals";"excluded"
"103";"ARM";"ASI";"Horses";1096;"Live animals";"Livestock";"Live animals";"excluded"
"104";"ARM";"ASI";"Asses";1107;"Live animals";"Livestock";"Live animals";"excluded"
"105";"ARM";"ASI";"Mules";1110;"Live animals";"Livestock";"Live animals";"excluded"
"106";"ARM";"ASI";"Camels";1126;"Live animals";"Livestock";"Live animals";"excluded"
"107";"ARM";"ASI";"Camelids, other";1157;"Live animals";"Livestock";"Live animals";"excluded"
"108";"ARM";"ASI";"Rabbits and hares";1140;"Live animals";"Livestock";"Live animals";"excluded"
"109";"ARM";"ASI";"Rodents, other";1150;"Live animals";"Livestock";"Live animals";"excluded"
"110";"ARM";"ASI";"Live animals, other";1171;"Live animals";"Livestock";"Live animals";"excluded"
"111";"ARM";"ASI";"Milk - Excluding Butter";2848;"Milk";"Livestock products";"Milk";"Milk"
"112";"ARM";"ASI";"Butter, Ghee";2740;"Milk";"Livestock products";"Milk";"Milk"
"113";"ARM";"ASI";"Eggs";2744;"Eggs";"Livestock products";"Eggs";"Meat, sausages, fish, eggs"
"114";"ARM";"ASI";"Wool (Clean Eq.)";2746;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"115";"ARM";"ASI";"Bovine Meat";2731;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"116";"ARM";"ASI";"Mutton & Goat Meat";2732;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"117";"ARM";"ASI";"Pigmeat";2733;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"118";"ARM";"ASI";"Poultry Meat";2734;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"119";"ARM";"ASI";"Meat, Other";2735;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"120";"ARM";"ASI";"Offals, Edible";2736;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"121";"ARM";"ASI";"Fats, Animals, Raw";2737;"Animal fats";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"122";"ARM";"ASI";"Hides and skins";2748;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"123";"ARM";"ASI";"Meat Meal";2749;"Meat";"Livestock products";"Meat";"Meat, sausages, fish, eggs"
"124";"ARM";"ASI";"Pet food";843;"Meat";"Livestock products";"Meat";"excluded"
"125";"ARM";"ASI";"Honey";2745;"Honey";"Livestock products";"Honey";"Alcohol, sugar and honey"
"126";"ARM";"ASI";"Silk";2747;"Hides, skins, wool";"Livestock products";"Hides, skins, wool";"excluded"
"127";"ARM";"ASI";"Fish, Seafood";2960;"Fish";"Fish";"Fish";"Meat, sausages, fish, eggs"
"128";"ARM";"ASI";"Wood fuel";1864;"Wood";"Wood";"Wood";"excluded"
"129";"ARM";"ASI";"Industrial roundwood, coniferous";1866;"Wood";"Wood";"Wood";"excluded"
"130";"ARM";"ASI";"Industrial roundwood, non-coniferous";1867;"Wood";"Wood";"Wood";"excluded"
"131";"AFG";"ASI";"Rice (Milled Equivalent)";2805;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"132";"AFG";"ASI";"Wheat and products";2511;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"133";"AFG";"ASI";"Barley and products";2513;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"134";"AFG";"ASI";"Maize and products";2514;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"135";"AFG";"ASI";"Rye and products";2515;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"136";"AFG";"ASI";"Oats";2516;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"137";"AFG";"ASI";"Millet and products";2517;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"138";"AFG";"ASI";"Sorghum and products";2518;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"139";"AFG";"ASI";"Cereals, Other";2520;"Cereals";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"140";"AFG";"ASI";"Potatoes and products";2531;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"141";"AFG";"ASI";"Cassava and products";2532;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"142";"AFG";"ASI";"Sweet potatoes";2533;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"143";"AFG";"ASI";"Roots, Other";2534;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"144";"AFG";"ASI";"Yams";2535;"Roots and tubers";"Primary crops";"Cereals and potatoes";"Cereals and potatoes"
"145";"AFG";"ASI";"Sugar cane";2536;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"146";"AFG";"ASI";"Sugar beet";2537;"Sugar crops";"Primary crops";"Sugar crops";"excluded"
"147";"AFG";"ASI";"Beans";2546;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"148";"AFG";"ASI";"Peas";2547;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"149";"AFG";"ASI";"Pulses, Other and products";2549;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"150";"AFG";"ASI";"Nuts and products";2551;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"151";"AFG";"ASI";"Soyabeans";2555;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"152";"AFG";"ASI";"Groundnuts (Shelled Eq)";2556;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"153";"AFG";"ASI";"Sunflower seed";2557;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"154";"AFG";"ASI";"Rape and Mustardseed";2558;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"155";"AFG";"ASI";"Seed cotton";328;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"156";"AFG";"ASI";"Coconuts - Incl Copra";2560;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"157";"AFG";"ASI";"Sesame seed";2561;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"158";"AFG";"ASI";"Oil, palm fruit";254;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"159";"AFG";"ASI";"Olives (including preserved)";2563;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"160";"AFG";"ASI";"Oilcrops, Other";2570;"Oil crops";"Primary crops";"Oil crops and nuts";"vegetables incl. legumes"
"161";"AFG";"ASI";"Tomatoes and products";2601;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
"162";"AFG";"ASI";"Onions";2602;"Vegetables, fruit, nuts, pulses, spices";"Primary crops";"Vegetables, pulses, spices";"vegetables incl. legumes"
