
Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Source_nutr (Food_consumption_table_FAO);Kcal;G_prot;G_fat
c091;2655;Wine;tonnes;Crop products;0.85;Feed crops;Alcohol;TRUE;'WINE';68;0;0
c092;2656;Beer;tonnes;Crop products;0.95;Feed crops;Alcohol;TRUE;'WHEAT FERMENTED BEVERAGE';60;1.9;0.3
c093;2657;Beverages. Fermented;tonnes;Crop products;0.9;Feed crops;Alcohol;TRUE;'FERMENTED BEVERAGES. CIDER ETC.';47;0.1;0
c094;2658;Beverages. Alcoholic;tonnes;Crop products;0.8;Feed crops;Alcohol;TRUE;'BEVERAGES DIST. ALCOHOL';295;0;0
c095;2659;Alcohol. Non-Food;tonnes;Crop products;0.2;Feed crops;Ethanol;TRUE;NA;Na;Na;Na
c096;2661;Cotton lint;tonnes;Crop products;0.1;Feed crops;Fibre crops;TRUE;NA;Na;Na;Na
c097;866;Cattle;1000 Head;Livestock;0;NA;Live animals;TRUE;NA;Na;Na;Na
c098;946;Buffaloes;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c099;976;Sheep;1000 Head;Livestock;0;NA;Live animals;TRUE;NA;Na;Na;Na
c100;1016;Goats;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c101;1034;Pigs;1000 Head;Livestock;0;NA;Live animals;TRUE;NA;Na;Na;Na
c102;2029;Poultry Birds;1000 Head;Livestock;0;NA;Live animals;TRUE;NA;Na;Na;Na
c103;1096;Horses;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c104;1107;Asses;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c105;1110;Mules;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c106;1126;Camels;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
c107;1157;Camelids. other;1000 Head;Livestock;0;NA;Live animals;FALSE;NA;Na;Na;Na
